game_id,game_date,home_team,away_team,y_true_home_win,p_model,p_oof,p_market,odds_decimal,source_prediction_ref,source_odds_ref,paper_only,production_ready
SFN-20240423-0,2024-04-23,SFN,NYN,1,,,,,,,True,False
SLN-20240423-0,2024-04-23,SLN,ARI,0,,,,,,,True,False
WAS-20240423-0,2024-04-23,WAS,LAN,0,,,,,,,True,False
ANA-20240423-0,2024-04-23,ANA,BAL,1,,,,,,,True,False
CLE-20240423-0,2024-04-23,CLE,BOS,1,,,,,,,True,False
KCA-20240423-0,2024-04-23,KCA,TOR,1,,,,,,,True,False
MIN-20240423-0,2024-04-23,MIN,CHA,1,,,,,,,True,False
NYA-20240423-0,2024-04-23,NYA,OAK,1,,,,,,,True,False
TBA-20240423-0,2024-04-23,TBA,DET,0,,,,,,,True,False
TEX-20240423-0,2024-04-23,TEX,SEA,0,,,,,,,True,False
ATL-20240424-0,2024-04-24,ATL,MIA,1,,,,,,,True,False
CHN-20240424-0,2024-04-24,CHN,HOU,1,,,,,,,True,False
CIN-20240424-0,2024-04-24,CIN,PHI,1,,,,,,,True,False
COL-20240424-0,2024-04-24,COL,SDN,0,,,,,,,True,False
PIT-20240424-0,2024-04-24,PIT,MIL,0,,,,,,,True,False
SFN-20240424-0,2024-04-24,SFN,NYN,0,,,,,,,True,False
SLN-20240424-0,2024-04-24,SLN,ARI,1,,,,,,,True,False
WAS-20240424-0,2024-04-24,WAS,LAN,0,,,,,,,True,False
ANA-20240424-0,2024-04-24,ANA,BAL,0,,,,,,,True,False
CLE-20240424-0,2024-04-24,CLE,BOS,0,,,,,,,True,False
