"game_id","game_date","season","away_team","home_team","away_score","home_score","y_true_home_win","source_name","source_row_number"
"BOS-20240415-0","2024-04-15",2024,"CLE","BOS",6,0,0,"Retrosheet",243
"CHA-20240415-0","2024-04-15",2024,"KCA","CHA",2,0,0,"Retrosheet",244
"DET-20240415-0","2024-04-15",2024,"TEX","DET",1,0,0,"Retrosheet",245
"HOU-20240415-0","2024-04-15",2024,"ATL","HOU",6,1,0,"Retrosheet",246
"OAK-20240415-0","2024-04-15",2024,"SLN","OAK",3,1,0,"Retrosheet",247
"SEA-20240415-0","2024-04-15",2024,"CIN","SEA",3,9,1,"Retrosheet",248
"TBA-20240415-0","2024-04-15",2024,"ANA","TBA",7,3,0,"Retrosheet",249
"TOR-20240415-0","2024-04-15",2024,"NYA","TOR",1,3,1,"Retrosheet",250
"ARI-20240416-0","2024-04-16",2024,"CHN","ARI",11,12,1,"Retrosheet",251
"LAN-20240416-0","2024-04-16",2024,"WAS","LAN",2,6,1,"Retrosheet",252
"MIA-20240416-0","2024-04-16",2024,"SFN","MIA",3,6,1,"Retrosheet",253
"MIL-20240416-0","2024-04-16",2024,"SDN","MIL",6,3,0,"Retrosheet",254
"NYN-20240416-0","2024-04-16",2024,"PIT","NYN",1,3,1,"Retrosheet",255
"PHI-20240416-0","2024-04-16",2024,"COL","PHI",0,5,1,"Retrosheet",256
"BAL-20240416-0","2024-04-16",2024,"MIN","BAL",3,11,1,"Retrosheet",257
"BOS-20240416-0","2024-04-16",2024,"CLE","BOS",10,7,0,"Retrosheet",258
"DET-20240416-0","2024-04-16",2024,"TEX","DET",2,4,1,"Retrosheet",259
"HOU-20240416-0","2024-04-16",2024,"ATL","HOU",6,2,0,"Retrosheet",260
"OAK-20240416-0","2024-04-16",2024,"SLN","OAK",3,2,0,"Retrosheet",261
"SEA-20240416-0","2024-04-16",2024,"CIN","SEA",1,3,1,"Retrosheet",262
"TBA-20240416-0","2024-04-16",2024,"ANA","TBA",6,7,1,"Retrosheet",263
"TOR-20240416-0","2024-04-16",2024,"NYA","TOR",4,5,1,"Retrosheet",264
